sessionId,speakerId
cmffpi15600cn3z7gvbww9r4b,cmffpi0e5004h3z7gzt1plwok
cmffpi15b00co3z7gj2f97z16,cmffpi0e5004i3z7gn5z3uc0d
cmffpi15b00co3z7gj2f97z16,cmffpi0e6004j3z7g3iauqy3t
cmffpi15e00cq3z7gxcwhl4lt,cmffpi0ea004l3z7gtonlofb0
cmffpi15f00cr3z7gio7gexs4,cmffpi0ed004m3z7gpmuu4mzo
cmffpi15g00cs3z7gaeoii6by,cmffpi0ee004n3z7ggwco1yiz
cmffpi15k00cv3z7gs9t713l7,cmffpi0cu003q3z7gx178x6pd
cmffpi15m00cw3z7g0g9smi7e,cmffpi0ei004q3z7gk4oq9us6
cmffpi15m00cw3z7g0g9smi7e,cmffpi0ej004r3z7gb8d9dwjd
cmffpi15o00cx3z7gxh10x4tk,cmffpi0ek004s3z7gc18tqmnq
cmffpi15u00cz3z7gkm7ab3hp,cmffpi0el004t3z7g98rgurz4
cmffpi16100d13z7gprp70z1l,cmffpi0eo004v3z7glml7nk7u
cmffpi16100d13z7gprp70z1l,cmffpi0eq004w3z7g4vot3aty
cmffpi16700d23z7gyn2m7c92,cmffpi0er004x3z7gbar0r01q
cmffpi16e00d53z7g9hcqbvjg,cmffpi0et004y3z7gkwtpf54u
cmffpi16j00d83z7giuznj8xx,cmffpi0ar00203z7gse09rnl8
cmffpi16l00d93z7gejgidnw5,cmffpi0eu004z3z7gms9z3m7u
cmffpi17600df3z7gkffcqtwy,cmffpi0ew00513z7gqn7uyfpb
cmffpi17600df3z7gkffcqtwy,cmffpi0ew00523z7gzplaw22d
cmffpi17a00di3z7g8yp1pncl,cmffpi0ey00553z7gnohptgie
cmffpi17d00dl3z7g8c8ks6ys,cmffpi0ez00573z7g7emchwq8
cmffpi17g00do3z7g8j0xj1mk,cmffpi0f3005c3z7glj2ko0xz
cmffpi17j00dr3z7g16vr3obm,cmffpi0f4005d3z7giir31bio
cmffpi17l00ds3z7gzznip9do,cmffpi0f9005g3z7gnvtfe1aw
cmffpi17q00dt3z7grw2g38g2,cmffpi0ar00203z7gse09rnl8
cmffpi17x00dv3z7g06ewzk4e,cmffpi0fc005j3z7gxsxv20fl
cmffpi18000dw3z7g5lb0vyhk,cmffpi0fd005k3z7gwkn4rhj3
cmffpi18200dx3z7g8p3jgp8m,cmffpi0ff005l3z7g37g076e8
cmffpi18400dy3z7gl8xveybm,cmffpi0fg005m3z7ghin4n1ne
cmffpi18400dy3z7gl8xveybm,cmffpi0fh005n3z7gdhw2gcop
cmffpi18500dz3z7ge9v4jdb2,cmffpi0fh005o3z7g72o0yc34
cmffpi18500dz3z7ge9v4jdb2,cmffpi0fi005p3z7g66gpo0y2
cmffpi18b00e23z7gbtu11r4u,cmffpi0fj005s3z7ge7se2kq1
cmffpi18b00e23z7gbtu11r4u,cmffpi0fl005t3z7gdglzlb80
cmffpi18d00e33z7gbg0isgpb,cmffpi0fn005u3z7gc6t7g6xs
cmffpi18e00e43z7glsxf8x3s,cmffpi0fo005v3z7glrdlsdt5
cmffpi18g00e63z7gjs7u4hs2,cmffpi0fq005y3z7ghj1ck7bw
cmffpi18h00e73z7gyqpkjghd,cmffpi0fr00603z7gf549smnc
